0,1,2,3,4,5,6,7,8,9,10,11,12
Month,January,February,March,April,May,June,July,August,September,October,November,December
Year,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015
No_Landing,33311,29701,34796,36671,39403,38664,42831,44063,41609,39900,35689,36344
Available_Seats_Km,11390034.26,9931402.37,11643912.73,12169245.55,13182805.91,12943599.63,14194913.3,14470054.42,13768539.27,13719885.9,12728792.65,13066065.84
Revenue_Passenger_Km,8695835.265,7582699.733,9077189.322,9515677.523,10359180.95,10214212.63,11320702.36,12082995.83,10842385.39,10640017.92,9453632.316,9587394.096
Passenger_Load_Factor,0.763459974,0.763507453,0.779565215,0.781944738,0.785810018,0.789132307,0.797518246,0.835034581,0.787475358,0.775517959,0.742696702,0.73376288
Passengers_Carried,4351704,3912160,4591027,4960613,5404528,5271843,5872007,6375289,5729594,5410985,4689490,4678952
Cargo_and_Mail,48347.355,49075.59,62136.053,59296.169,65273.227,63705.862,61955.035,62529.184,59594.763,58988.868,65735.687,63801.718
Km_Flown,66183.945,58287.368,68296.621,69499.202,73827.926,72192.161,78687.89,80419.075,76782.983,76153.494,71240.438,73015.025
Int_Trns_Pass_Carried,1399646,1117304,1411623,1414129,1459945,1543120,1775573,1849024,1640669,1688156,1484353,1601741